"Claudio Coello","1642-03-02"
"Paul-Albert Besnard","1849-06-02"
"Hermann Ottomar Herzog","1831-11-15"
"Alexander Liberman","1912-09-04"
"Adolfo Winternitz","1906-10-20"
"Zlatyu Boyadzhiev","1903-10-22"
"P. C. Skovgaard","1817-04-04"
"Līga Purmale","1948-11-18"
"François-Elie Vincent","1708-06-20"
"Iosif Iser","1881-04-21"
"Vasily Polenov","1844-06-01"
"Robert Irwin","1928-09-12"
"Charles Harold Davis","1856-01-07"
"Katherine Sophie Dreier","1877-09-10"
"Christopher Banahan","1958-09-04"
"Ibrahim Kodra","1918-04-22"
"Carl-Henning Pedersen","1913-09-23"
"Giovanni Battista Piazzetta","1682-02-13"
"Louise Abbéma","1858-10-30"
"Arkady Plastov","1893-01-31"
"Vasily Surikov","1848-01-24"
"Anna Elizabeth Klumpke","1856-10-28"
"Fritz Bleyl","1880-10-08"
"Adam Marczyński","1908-12-24"
"Bernardo Buontalenti","1531-12-15"
"Odd Nerdrum","1944-04-08"
"Brian Barnes","1944-08-20"
"Stephen Howarth","1981-07-23"
"Eugène Carrière","1849-01-16"
"Robert Koehler","1850-11-28"
"Frederik Vermehren","1823-05-12"
"Thoreau MacDonald","1901-04-21"
"Sydney Lough Thompson","1877-01-24"
"J. Ottis Adams","1851-07-08"
"Anton Graff","1736-11-18"
"Bartolomé Estéban Murillo","1617-12-31"
"John Partridge","1789-11-20"
"Louis Eilshemius","1864-02-04"
"Jesse Richards","1975-07-17"
"Alexandru Bogdan-Piteşti","1870-06-13"
"Anselm Kiefer","1945-03-08"
"Emile Schuffenecker","1851-12-08"
"Eugène Grasset","1845-05-25"
"Albert Dubois-Pillet","1846-10-28"
"Joachim von Sandrart","1606-05-12"
"Luca Ferrari","1605-02-17"
"Vicente Manansala","1910-01-22"
"Francesco di Giorgio","1439-09-23"
"Federico Zandomeneghi","1841-06-02"
"Ľudovít Fulla","1902-02-27"
"Fernando Botero","1932-04-19"
"Richard Cosway","1742-11-05"
"Antonio Molinari","1655-01-21"
"John French Sloan","1871-08-02"
"Will Roberts","1907-12-21"
"Max Klinger","1857-02-18"
"Willem van de Velde the Younger","1633-12-18"
"Norman Wilkinson","1878-11-24"
"Henry Scott Tuke","1858-06-12"
"Conrad Marca-Relli","1913-06-05"
"Isidor Kaufman","1853-03-22"
"Arnold Grabone","1896-09-11"
"Alice Neel","1900-01-28"
"Isaac Grünewald","1889-09-02"
"Rudolf Bauer","1889-02-11"
"John Marin","1870-12-23"
"Stanley Spencer","1891-06-30"
"Leiko Ikemura","1951-08-22"
"Tarsila do Amaral","1886-09-01"
"Valerio Adami","1935-03-17"
"Juan Villafuerte","1945-07-19"
"Edwin Holgate","1892-08-19"
"Carolus-Duran","1837-07-04"
"Françoise Gilot","1921-11-26"
"Alphonse Osbert","1857-03-23"
"Erna Rosenstein","1913-05-17"
"Branwell Brontë","1817-06-26"
"Manolo Millares","1926-01-17"
"Mario Minniti","1577-12-08"
"Karel Appel","1921-04-25"
"Konstantin Korovin","1861-12-05"
"Josef Block","1863-11-27"
"Johann Peter Krafft","1780-09-15"
"George Spencer Watson","1869-03-08"
"Julius Exter","1863-09-20"
"Gyula Basch","1859-04-09"
"Leonid Pasternak","1862-04-04"
"Nikolai Ge","1831-02-27"
"Othon Friesz","1879-02-06"
"Friedrich Wilhelm Schadow","1789-09-07"
"Giancarlo Vitali","1929-11-29"
"Richard Hamilton","1922-02-24"
"Albert Henry Krehbiel","1873-11-25"
"Luigi Sabatelli","1772-02-21"
"Jeanne Hébuterne","1898-04-06"
"Nadya Rusheva","1952-01-31"
"Uroš Predić","1857-12-07"
"Gwen John","1876-06-22"
"Joseph B. Davol","1864-08-25"
"Thomas Cooper Gotch","1854-12-10"
"Willard Midgette","1937-07-09"
"Carl Buchheister","1890-10-17"
"Henryk Siemiradzki","1843-11-15"
"C. G. Finch-Davies","1875-05-24"
"Abraham Storck","1644-04-17"
"Franz Ittenbach","1813-04-18"
"Charles E. Burchfield","1893-04-09"
"Keith Haring","1958-05-04"
"Henry Tonks","1862-04-09"
"Pierre Subleyras","1699-11-25"
"Mikhail Nesterov","1862-05-19"
"James McDougal Hart","1828-05-10"
"David Teniers the Younger","1610-12-15"
"Jean Germain Drouais","1763-11-25"
"Frans Masereel","1889-07-31"
"Ivan Shishkin","1832-01-25"
"Élisabeth-Louise Vigée Le Brun","1755-04-16"
"George Luks","1867-08-13"
"Ilya Yefimovich Repin","1844-08-05"
"Robert William Wood","1889-03-04"
"Aimo Maggi","1756-05-31"
"Jan van Goyen","1596-01-13"
"Mauritz de Haas","1832-12-12"
"Giuseppe Bezzuoli","1784-11-28"
"Carl Haag","1820-04-20"
"Louis Delsarte","1944-09-01"
"Ivan Grohar","1867-06-15"
"Jan van Scorel","1495-08-01"
"Josef Albers","1888-03-19"
"William Berczy","1744-12-10"
"Antonio Gherardi","1638-09-20"
"Giuseppe Zais","1709-03-22"
"Joseph DeCamp","1858-11-05"
"Sarkis Ordyan","1918-12-20"
"Marie Bracquemond","1840-12-01"
"Tivadar Csontváry Kosztka","1853-07-05"
"Lorenzo Baldissera Tiepolo","1736-08-08"
"Francesca Alexander","1837-02-27"
"Jan Brueghel the Younger","1601-09-13"
"Francis Cotes","1726-05-20"
"Ad Reinhardt","1913-12-24"
"Simon Vouet","1590-01-09"
"Theodor Martens","1822-08-27"
"William Ronald","1926-08-13"
"Ulrich Leman","1885-10-15"
"Giuseppe Bossi","1777-08-11"
"Marlene Dumas","1953-08-03"
"Pablo Gargallo","1881-01-05"
"Johann Gottfried Steffan","1815-12-13"
"Erasmus Quellinus II","1607-11-19"
"Hendrick Avercamp","1585-01-27"
"William Hart","1823-03-31"
"Rudolf Schlichter","1890-12-06"
"Leslie Hurry","1909-02-10"
"Wolfgang Paalen","1905-07-07"
"Johan Jongkind","1819-06-03"
"A. G. Heaton","1844-04-28"
"Claude Vignon","1593-05-19"
"Antonio Cifrondi","1655-06-11"
"Edwin Dickinson","1891-10-11"
"Jóhannes Sveinsson Kjarval","1885-10-15"
"Giovanni Giacomo Semenza","1580-07-18"
"Spurgeon Tucker","1894-11-02"
"Domenico Zampieri","1581-10-21"
"Julian Fałat","1853-07-30"
"Wilson Irvine","1869-02-28"
"Andrea Appiani","1754-05-31"
"Stephen S. Sawyer","1952-08-30"
"Vladimir Tatlin","1885-12-28"
"Maurelio Scanavini","1665-05-07"
"Kevin Coyne","1944-01-27"
"Karl Briullov","1799-12-12"
"Lawton S. Parker","1868-08-07"
"Steven Spurrier","1878-07-13"
"Rita Angus","1908-03-12"
"David Ryckaert","1612-12-02"
"William Glackens","1870-03-13"
"Canaletto","1697-10-28"
"Ernest Lawson","1873-03-22"
"Alma Woodsey Thomas","1891-09-22"
"Alexandra Nechita","1985-08-27"
"Eero Järnefelt","1863-11-08"
"Marie Vassilieff","1884-02-12"
"Nils von Dardel","1888-10-25"
"Everett Warner","1877-07-16"
"Koloman Sokol","1902-12-12"
"Prudence Heward","1896-07-02"
"Joseph Highmore","1692-06-03"
"Szymon Buchbinder","1853-01-06"
"John Byrne","1940-01-06"
"David Griffiths","1939-02-16"
"Henry Peters Gray","1819-06-23"
"Matthew Harris Jouett","1788-04-22"
"Henri-Julien Dumont","1859-01-21"
"Ida Applebroog","1929-11-11"
"Theodore Wores","1859-08-01"
"Serge Poliakoff","1900-01-08"
"Alfons Karpiński","1875-02-20"
"Darell Koons","1924-12-18"
"Hernando R. Ocampo","1911-04-18"
"Abidin Dino","1913-03-23"
"Joseph Mathäus Aigner","1818-01-18"
"John Duncan Fergusson","1874-03-09"
"Zurab Tsereteli","1934-01-04"
"Charles-François Daubigny","1817-02-15"
"Matthäus Günther","1705-09-07"
"Albert Anker","1831-04-01"
"Todd Schorr","1954-01-09"
"Vasily Perov","1834-01-02"
"Cecilia Beaux","1855-05-01"
"André Hébuterne","1894-09-03"
"Daniel Chodowiecki","1726-10-16"
"Natalia Goncharova","1881-06-04"
"Milton Menasco","1890-01-22"
"Claudia Vecchiarelli","1978-11-07"
"Marc Aurèle de Foy Suzor-Coté","1869-04-06"
"Henri Alphonse Barnoin","1882-07-07"
"Jürgen Partenheimer","1947-05-14"
"Jacques Henri Lartigue","1894-06-13"
"Emerson Woelffer","1914-07-27"
"Girolamo Donnini","1681-04-18"
"Jean Charlot","1898-02-08"
"Gillian Ayres","1930-02-03"
"Sacha Moldovan","1901-11-04"
"Franz Stuck","1863-02-24"
"Ludwig Meidner","1884-04-18"
"Leslie Hunter","1877-08-07"
"Cândido Portinari","1903-12-29"
"Constantino Brumidi","1805-07-26"
"Andrea Sacchi","1599-11-30"
"François Bonvin","1817-11-22"
"William Rothenstein","1872-01-29"
"Luigi Russolo","1885-04-30"
"Chris Newman","1958-10-19"
"Doris Totten Chase","1923-04-29"
"Jean-Paul Riopelle","1923-10-07"
"Don Bachardy","1934-05-18"
"Augustus Dunbier","1888-01-01"
"Philip Absolon","1960-11-24"
"Ang Kiukok","1931-03-01"
"Carl Blair","1932-11-28"
"George Biddle","1885-01-24"
"Norman Garstin","1847-08-28"
"Charles Peale Polk","1767-03-17"
"Karl Friedrich Schinkel","1781-03-13"
"Benvenuto Cellini","1500-11-03"
"Christopher R. W. Nevinson","1889-08-13"
"John Carl Doemling","1894-06-23"
"Mary Curtis Richardson","1848-04-09"
"Johannes Lingelbach","1622-10-10"
"Franciszka Themerson","1907-06-28"
"Hans Arp","1886-09-16"
"Willem Drost","1633-04-19"
"Mór Than","1828-06-19"
"Miguel de la Espriella","1947-11-14"
"Derek Erdman","1973-12-06"
"Willem Pieterszoon Buytewech","1592-01-01"
